From	To	Species	Gene Name
1556643_at	BISPR	Homo sapiens	BST2 interferon stimulated positive regulator(BISPR)
227408_s_at	SNX25	Homo sapiens	sorting nexin 25(SNX25)
236646_at	TMEM52B	Homo sapiens	transmembrane protein 52B(TMEM52B)
211535_s_at	FGFR1	Homo sapiens	fibroblast growth factor receptor 1(FGFR1)
205214_at	STK17B	Homo sapiens	serine/threonine kinase 17b(STK17B)
222630_at	RFX7	Homo sapiens	regulatory factor X7(RFX7)
201110_s_at	THBS1	Homo sapiens	thrombospondin 1(THBS1)
220088_at	C5AR1	Homo sapiens	complement C5a receptor 1(C5AR1)
213475_s_at	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
217911_s_at	BAG3	Homo sapiens	BAG cochaperone 3(BAG3)
212089_at	LMNA	Homo sapiens	lamin A/C(LMNA)
212913_at	MSH5-SAPCD1	Homo sapiens	MSH5-SAPCD1 readthrough (NMD candidate)(MSH5-SAPCD1)
201804_x_at	TBCB	Homo sapiens	tubulin folding cofactor B(TBCB)
37028_at	PPP1R15A	Homo sapiens	protein phosphatase 1 regulatory subunit 15A(PPP1R15A)
1558882_at	HTATSF1P2	Homo sapiens	HIV-1 Tat specific factor 1 pseudogene 2(HTATSF1P2)
201437_s_at	EIF4E	Homo sapiens	eukaryotic translation initiation factor 4E(EIF4E)
205691_at	SYNGR3	Homo sapiens	synaptogyrin 3(SYNGR3)
203828_s_at	IL32	Homo sapiens	interleukin 32(IL32)
229354_at	AHRR	Homo sapiens	aryl hydrocarbon receptor repressor(AHRR)
205100_at	GFPT2	Homo sapiens	glutamine-fructose-6-phosphate transaminase 2(GFPT2)
227029_at	FAM177A1	Homo sapiens	family with sequence similarity 177 member A1(FAM177A1)
201739_at	SGK1	Homo sapiens	serum/glucocorticoid regulated kinase 1(SGK1)
205037_at	IFT27	Homo sapiens	intraflagellar transport 27(IFT27)
204032_at	BCAR3	Homo sapiens	BCAR3 adaptor protein, NSP family member(BCAR3)
209901_x_at	AIF1	Homo sapiens	allograft inflammatory factor 1(AIF1)
201963_at	ACSL1	Homo sapiens	acyl-CoA synthetase long chain family member 1(ACSL1)
223222_at	SLC25A19	Homo sapiens	solute carrier family 25 member 19(SLC25A19)
212501_at	CEBPB	Homo sapiens	CCAAT enhancer binding protein beta(CEBPB)
216015_s_at	NLRP3	Homo sapiens	NLR family pyrin domain containing 3(NLRP3)
235046_at	INPP4B	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
